,word,topic_id,weights,word_count
56,2006,2,0.005655917609319602,311
57,ecolog,2,0.005571500928583488,105
58,develop,2,0.005571500928583488,193
59,anim,2,0.005065000844166808,181
60,cell,3,0.03619065385691633,792
61,intestin,3,0.021453222647141126,371
62,immun,3,0.020893573360693966,273
63,gut,3,0.01800205204738364,495
64,commens,3,0.012498834063986568,153
65,toler,3,0.012312284301837515,144
66,antigen,3,0.011845909896464881,127
67,immunol,3,0.010166962037123403,113
68,respons,3,0.009887137393899823,279
69,flora,3,0.009514037869601717,130
70,bacteria,3,0.008954388583154557,235
71,mice,3,0.008488014177781923,577
72,system,3,0.008114914653483817,345
73,epitheli,3,0.007088890961664024,106
74,induct,3,0.006902341199514971,104
75,2004,3,0.006529241675216864,222
76,2005,3,0.006529241675216864,318
77,express,3,0.006342691913067811,436
78,dc,3,0.006249417031993284,71
79,activ,3,0.006062867269844231,223
80,bt3172,4,0.018571428571428572,156
81,thetaiotaomicron,4,0.017738095238095237,593
82,express,4,0.01630952380952381,436
83,gene,4,0.010833333333333334,907
84,mice,4,0.010714285714285714,577
85,domain,4,0.010714285714285714,90
86,thi,4,0.01011904761904762,664
87,diet,4,0.01011904761904762,185
88,protein,4,0.009047619047619047,609
89,htc,4,0.009047619047619047,76
90,sensor,4,0.008095238095238095,69
91,wt,4,0.007738095238095238,66
92,polysaccharid,4,0.007380952380952381,159
93,interact,4,0.0067857142857142855,118
94,fig,4,0.006309523809523809,392
95,pr,4,0.006071428571428571,52
96,gut,4,0.005952380952380952,495
97,colon,4,0.005833333333333334,346
98,metabol,4,0.005595238095238095,301
99,glycan,4,0.005595238095238095,132
100,mice,5,0.02349206349206349,577
101,129s6,5,0.018412698412698412,58
102,metabol,5,0.01650793650793651,301
103,plasma,5,0.015555555555555555,70
104,hfd,5,0.012698412698412698,40
105,fig,5,0.012380952380952381,392
106,balb,5,0.011428571428571429,36
107,glucos,5,0.010158730158730159,98
108,cholin,5,0.009841269841269842,31
109,strain,5,0.008888888888888889,316
110,liver,5,0.008888888888888889,68
111,microbiota,5,0.007619047619047619,269
112,gut,5,0.007619047619047619,495
113,thi,5,0.007619047619047619,664
114,insulin,5,0.006984126984126984,48
115,diet,5,0.006984126984126984,185
116,lfd,5,0.006984126984126984,22
117,nafld,5,0.006666666666666667,21
118,associ,5,0.006666666666666667,105
119,nmr,5,0.006666666666666667,21
120,thetaiotaomicron,6,0.02095327984898537,593
121,smithii,6,0.01807456347333648,383
122,mice,6,0.010806984426616328,577
